seq,time_seconds,event_type,robot_name,message,data_json
1,0.0,run_started,,Started run_001_seed_124_20260402_095744,"{""auto_policy"": ""weighted_coverage"", ""mission_mode"": ""manual_click"", ""seed"": 124}"
2,0.0,auto_policy_changed,,Auto policy set to frontier,
3,0.0,auto_policy_changed,,Auto policy set to frontier,
4,0.0,mission_mode_changed,,Mission mode set to auto explore,
5,0.0,auto_mode_toggled,,Simulation started,"{""auto_mode"": true}"
6,0.05,goal_assigned,Drone 1,"Assigned frontier goal at (25.50, 8.50)","{""goal_type"": ""frontier"", ""goal_x"": 25.5, ""goal_y"": 8.5, ""score"": null}"
7,0.05,replan,Drone 1,Replanned path with 2 points,"{""path_length"": 4.675}"
8,0.05,goal_assigned,Drone 2,"Assigned frontier goal at (20.50, 10.50)","{""goal_type"": ""frontier"", ""goal_x"": 20.5, ""goal_y"": 10.5, ""score"": null}"
9,0.05,replan,Drone 2,Replanned path with 2 points,"{""path_length"": 5.508}"
10,0.05,goal_assigned,Drone 3,"Assigned frontier goal at (19.50, 10.50)","{""goal_type"": ""frontier"", ""goal_x"": 19.5, ""goal_y"": 10.5, ""score"": null}"
11,0.05,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 5.508}"
12,0.05,goal_assigned,Drone 4,"Assigned frontier goal at (15.50, 8.50)","{""goal_type"": ""frontier"", ""goal_x"": 15.5, ""goal_y"": 8.5, ""score"": null}"
13,0.05,replan,Drone 4,Replanned path with 2 points,"{""path_length"": 4.082}"
14,0.1,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 5.376}"
15,0.1,replan,Drone 4,Replanned path with 2 points,"{""path_length"": 4.092}"
16,0.2,replan,Drone 2,Replanned path with 2 points,"{""path_length"": 5.36}"
17,0.2,replan,Drone 4,Replanned path with 2 points,"{""path_length"": 4.057}"
18,0.75,goal_assigned,Drone 2,"Assigned frontier goal at (20.50, 9.50)","{""goal_type"": ""frontier"", ""goal_x"": 20.5, ""goal_y"": 9.5, ""score"": null}"
19,0.75,replan,Drone 2,Replanned path with 2 points,"{""path_length"": 3.812}"
20,1.05,goal_assigned,Drone 1,"Assigned frontier goal at (23.50, 7.50)","{""goal_type"": ""frontier"", ""goal_x"": 23.5, ""goal_y"": 7.5, ""score"": null}"
21,1.05,replan,Drone 1,Replanned path with 2 points,"{""path_length"": 1.806}"
22,1.1,goal_assigned,Drone 3,"Assigned frontier goal at (18.50, 10.50)","{""goal_type"": ""frontier"", ""goal_x"": 18.5, ""goal_y"": 10.5, ""score"": null}"
23,1.1,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 4.532}"
24,1.2,replan,Drone 4,Replanned path with 2 points,"{""path_length"": 3.029}"
25,1.75,replan,Drone 2,Replanned path with 2 points,"{""path_length"": 2.912}"
26,1.95,goal_reached,Drone 1,"Reached frontier at (23.50, 7.50)",
27,2.0,goal_assigned,Drone 1,"Assigned frontier goal at (22.50, 3.50)","{""goal_type"": ""frontier"", ""goal_x"": 22.5, ""goal_y"": 3.5, ""score"": null}"
28,2.0,replan,Drone 1,Replanned path with 2 points,"{""path_length"": 3.202}"
29,2.1,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 3.591}"
30,2.25,replan,Drone 4,Replanned path with 2 points,"{""path_length"": 1.976}"
31,2.8,replan,Drone 2,Replanned path with 2 points,"{""path_length"": 1.885}"
32,3.05,goal_assigned,Drone 1,"Assigned frontier goal at (30.50, 11.50)","{""goal_type"": ""frontier"", ""goal_x"": 30.5, ""goal_y"": 11.5, ""score"": null}"
33,3.05,replan,Drone 1,Replanned path with 3 points,"{""path_length"": 9.075}"
34,3.15,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 2.532}"
35,3.3,replan,Drone 4,Replanned path with 2 points,"{""path_length"": 0.96}"
36,3.35,goal_reached,Drone 4,"Reached frontier at (15.50, 8.50)",
37,3.4,goal_assigned,Drone 4,"Assigned frontier goal at (12.50, 4.50)","{""goal_type"": ""frontier"", ""goal_x"": 12.5, ""goal_y"": 4.5, ""score"": null}"
38,3.4,replan,Drone 4,Replanned path with 2 points,"{""path_length"": 4.887}"
39,3.5,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 2.173}"
40,3.75,goal_reached,Drone 2,"Reached frontier at (20.50, 9.50)",
41,3.8,goal_assigned,Drone 2,"Assigned frontier goal at (20.50, 16.50)","{""goal_type"": ""frontier"", ""goal_x"": 20.5, ""goal_y"": 16.5, ""score"": null}"
42,3.8,replan,Drone 2,Replanned path with 2 points,"{""path_length"": 7.949}"
43,4.1,goal_assigned,Drone 1,"Assigned frontier goal at (31.50, 8.50)","{""goal_type"": ""frontier"", ""goal_x"": 31.5, ""goal_y"": 8.5, ""score"": null}"
44,4.1,replan,Drone 1,Replanned path with 2 points,"{""path_length"": 7.775}"
45,4.45,goal_assigned,Drone 4,"Assigned frontier goal at (12.50, 15.50)","{""goal_type"": ""frontier"", ""goal_x"": 12.5, ""goal_y"": 15.5, ""score"": null}"
46,4.45,replan,Drone 4,Replanned path with 3 points,"{""path_length"": 9.285}"
47,4.55,goal_assigned,Drone 3,"Assigned frontier goal at (17.50, 10.50)","{""goal_type"": ""frontier"", ""goal_x"": 17.5, ""goal_y"": 10.5, ""score"": null}"
48,4.55,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 1.549}"
49,4.85,goal_assigned,Drone 2,"Assigned frontier goal at (22.50, 17.50)","{""goal_type"": ""frontier"", ""goal_x"": 22.5, ""goal_y"": 17.5, ""score"": null}"
50,4.85,replan,Drone 2,Replanned path with 3 points,"{""path_length"": 8.716}"
51,5.15,goal_assigned,Drone 1,"Assigned frontier goal at (31.50, 11.50)","{""goal_type"": ""frontier"", ""goal_x"": 31.5, ""goal_y"": 11.5, ""score"": null}"
52,5.15,replan,Drone 1,Replanned path with 2 points,"{""path_length"": 8.193}"
53,5.25,goal_reached,Drone 3,"Reached frontier at (17.50, 10.50)",
54,5.3,goal_assigned,Drone 3,"Assigned frontier goal at (16.50, 17.50)","{""goal_type"": ""frontier"", ""goal_x"": 16.5, ""goal_y"": 17.5, ""score"": null}"
55,5.3,replan,Drone 3,Replanned path with 2 points,"{""path_length"": 7.786}"
56,5.5,goal_assigned,Drone 4,"Assigned frontier goal at (10.50, 13.50)","{""goal_type"": ""frontier"", ""goal_x"": 10.5, ""goal_y"": 13.5, ""score"": null}"
57,5.5,replan,Drone 4,Replanned path with 4 points,"{""path_length"": 9.787}"
58,5.9,goal_assigned,Drone 2,"Assigned frontier goal at (24.50, 17.50)","{""goal_type"": ""frontier"", ""goal_x"": 24.5, ""goal_y"": 17.5, ""score"": null}"
59,5.9,replan,Drone 2,Replanned path with 3 points,"{""path_length"": 9.195}"
60,6.0,replan,Drone 2,Replanned path with 3 points,"{""path_length"": 9.092}"
61,6.1,goal_assigned,Drone 2,"Assigned frontier goal at (24.50, 18.50)","{""goal_type"": ""frontier"", ""goal_x"": 24.5, ""goal_y"": 18.5, ""score"": null}"
62,6.1,replan,Drone 2,Replanned path with 3 points,"{""path_length"": 9.556}"
63,6.2,goal_assigned,Drone 1,"Assigned frontier goal at (32.50, 11.50)","{""goal_type"": ""frontier"", ""goal_x"": 32.5, ""goal_y"": 11.5, ""score"": null}"
64,6.2,replan,Drone 1,Replanned path with 2 points,"{""path_length"": 7.929}"
65,6.2,replan,Drone 2,Replanned path with 4 points,"{""path_length"": 9.937}"
66,6.25,goal_assigned,Drone 1,"Assigned frontier goal at (33.50, 9.50)","{""goal_type"": ""frontier"", ""goal_x"": 33.5, ""goal_y"": 9.5, ""score"": null}"
67,6.25,replan,Drone 1,Replanned path with 2 points,"{""path_length"": 7.94}"
