time_seconds,known_ratio,free_coverage_ratio,occupied_recall_ratio,known_cells,covered_free_cells,mapped_occupied_cells,frontier_count,active_goals,running,auto_finished,selected_robot,auto_policy,mission_mode
21.1,0.716875,0.674396,0.575221,1147,698,325,7,4,1,0,Drone 1,frontier,auto_explore
21.6,0.72625,0.686957,0.580531,1162,711,328,7,4,1,0,Drone 1,frontier,auto_explore
22.1,0.738125,0.698551,0.582301,1181,723,329,8,4,1,0,Drone 1,frontier,auto_explore
22.6,0.748125,0.710145,0.585841,1197,735,331,8,4,1,0,Drone 1,frontier,auto_explore
23.1,0.766875,0.721739,0.614159,1227,747,347,7,4,1,0,Drone 1,frontier,auto_explore
23.6,0.783125,0.7343,0.626549,1253,760,354,7,4,1,0,Drone 1,frontier,auto_explore
24.1,0.795,0.748792,0.633628,1272,775,358,9,4,1,0,Drone 1,frontier,auto_explore
24.6,0.80125,0.755556,0.633628,1282,782,358,9,4,1,0,Drone 1,frontier,auto_explore
25.1,0.806875,0.762319,0.633628,1291,789,358,9,4,1,0,Drone 1,frontier,auto_explore
25.6,0.813125,0.770048,0.633628,1301,797,358,9,4,1,0,Drone 1,frontier,auto_explore
26.1,0.82,0.77971,0.633628,1312,807,358,8,4,1,0,Drone 1,frontier,auto_explore
26.6,0.8275,0.788406,0.633628,1324,816,358,8,4,1,0,Drone 1,frontier,auto_explore
27.1,0.833125,0.796135,0.635398,1333,824,359,9,4,1,0,Drone 1,frontier,auto_explore
27.6,0.8425,0.804831,0.638938,1348,833,361,10,4,1,0,Drone 1,frontier,auto_explore
28.1,0.851875,0.817391,0.638938,1363,846,361,10,4,1,0,Drone 1,frontier,auto_explore
28.6,0.86125,0.826087,0.640708,1378,855,362,9,4,1,0,Drone 1,frontier,auto_explore
29.1,0.871875,0.842512,0.644248,1395,872,364,9,4,1,0,Drone 1,frontier,auto_explore
29.6,0.8825,0.85314,0.653097,1412,883,369,9,4,1,0,Drone 1,frontier,auto_explore
30.1,0.90125,0.871498,0.661947,1442,902,374,9,4,1,0,Drone 1,frontier,auto_explore
30.6,0.9125,0.884058,0.661947,1460,915,374,10,4,1,0,Drone 1,frontier,auto_explore
31.1,0.923125,0.891787,0.688496,1477,923,389,8,4,1,0,Drone 1,frontier,auto_explore
31.6,0.926875,0.897585,0.688496,1483,929,389,8,4,1,0,Drone 1,frontier,auto_explore
32.1,0.933125,0.90628,0.688496,1493,938,389,8,4,1,0,Drone 1,frontier,auto_explore
32.65,0.934375,0.908213,0.688496,1495,940,389,8,4,1,0,Drone 1,frontier,auto_explore
33.2,0.941875,0.918841,0.688496,1507,951,389,8,4,1,0,Drone 1,frontier,auto_explore
33.75,0.94875,0.927536,0.688496,1518,960,389,8,4,1,0,Drone 1,frontier,auto_explore
34.3,0.9525,0.933333,0.688496,1524,966,389,8,4,1,0,Drone 1,frontier,auto_explore
34.85,0.9575,0.940097,0.688496,1532,973,389,8,4,1,0,Drone 1,frontier,auto_explore
35.4,0.9675,0.954589,0.688496,1548,988,389,7,4,1,0,Drone 1,frontier,auto_explore
35.95,0.973125,0.962319,0.688496,1557,996,389,7,4,1,0,Drone 1,frontier,auto_explore
36.5,0.978125,0.970048,0.688496,1565,1004,389,7,4,1,0,Drone 1,frontier,auto_explore
37.05,0.985,0.97971,0.688496,1576,1014,389,6,4,1,0,Drone 1,frontier,auto_explore
37.6,0.99,0.986473,0.688496,1584,1021,389,7,4,1,0,Drone 1,frontier,auto_explore
38.15,0.9925,0.989372,0.688496,1588,1024,389,5,4,1,0,Drone 1,frontier,auto_explore
38.7,0.99375,0.991304,0.688496,1590,1026,389,5,4,1,0,Drone 1,frontier,auto_explore
39.25,0.994375,0.992271,0.688496,1591,1027,389,5,4,1,0,Drone 1,frontier,auto_explore
39.8,0.995,0.993237,0.688496,1592,1028,389,4,4,1,0,Drone 1,frontier,auto_explore
40.35,0.995,0.993237,0.688496,1592,1028,389,4,4,1,0,Drone 1,frontier,auto_explore
40.9,0.995,0.993237,0.688496,1592,1028,389,4,4,1,0,Drone 1,frontier,auto_explore
41.45,0.995,0.993237,0.688496,1592,1028,389,4,4,1,0,Drone 1,frontier,auto_explore
42.0,0.995,0.993237,0.688496,1592,1028,389,4,4,1,0,Drone 1,frontier,auto_explore
42.55,0.995,0.993237,0.688496,1592,1028,389,4,4,1,0,Drone 1,frontier,auto_explore
43.1,0.995,0.993237,0.688496,1592,1028,389,4,4,1,0,Drone 1,frontier,auto_explore
43.65,0.995,0.993237,0.688496,1592,1028,389,4,4,1,0,Drone 1,frontier,auto_explore
44.2,0.995,0.993237,0.688496,1592,1028,389,4,4,1,0,Drone 1,frontier,auto_explore
44.75,0.995,0.993237,0.688496,1592,1028,389,4,4,1,0,Drone 1,frontier,auto_explore
45.3,0.995625,0.993237,0.688496,1593,1028,389,3,4,1,0,Drone 1,frontier,auto_explore
45.85,0.995625,0.993237,0.688496,1593,1028,389,3,4,1,0,Drone 1,frontier,auto_explore
46.4,0.995625,0.993237,0.688496,1593,1028,389,3,4,1,0,Drone 1,frontier,auto_explore
46.95,0.99625,0.994203,0.688496,1594,1029,389,2,4,1,0,Drone 1,frontier,auto_explore
47.5,0.99625,0.994203,0.688496,1594,1029,389,2,4,1,0,Drone 1,frontier,auto_explore
48.05,0.99625,0.994203,0.688496,1594,1029,389,2,4,1,0,Drone 1,frontier,auto_explore
48.6,0.99625,0.994203,0.688496,1594,1029,389,2,4,1,0,Drone 1,frontier,auto_explore
49.15,0.99625,0.994203,0.688496,1594,1029,389,2,4,1,0,Drone 1,frontier,auto_explore
49.7,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
50.25,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
50.8,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
51.35,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
51.9,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
52.45,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
53.0,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
53.55,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
54.1,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
54.65,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
55.2,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
55.75,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
56.3,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
56.85,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
57.4,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
57.95,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
58.5,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
59.05,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
59.6,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
60.15,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
60.7,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
61.25,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
61.8,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
62.35,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
62.9,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
63.45,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
64.0,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
64.55,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
65.1,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
65.65,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
66.2,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
66.75,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
67.3,0.996875,0.995169,0.688496,1595,1030,389,1,4,1,0,Drone 1,frontier,auto_explore
67.85,0.9975,0.996135,0.688496,1596,1031,389,1,4,1,0,Drone 1,frontier,auto_explore
68.4,0.998125,0.997101,0.688496,1597,1032,389,1,4,1,0,Drone 1,frontier,auto_explore
68.95,0.99875,0.998068,0.688496,1598,1033,389,1,4,1,0,Drone 1,frontier,auto_explore
69.5,0.999375,0.999034,0.688496,1599,1034,389,1,4,1,0,Drone 1,frontier,auto_explore
70.05,0.999375,0.999034,0.688496,1599,1034,389,1,4,1,0,Drone 1,frontier,auto_explore
70.6,1.0,1.0,0.688496,1600,1035,389,0,2,1,0,Drone 1,frontier,auto_explore
71.15,1.0,1.0,0.688496,1600,1035,389,0,0,1,0,Drone 1,frontier,auto_explore
71.7,1.0,1.0,0.688496,1600,1035,389,0,0,1,0,Drone 1,frontier,auto_explore
71.85,1.0,1.0,0.688496,1600,1035,389,0,0,0,1,Drone 1,frontier,auto_explore
