name,phase,goal_type,goal_assignments,goals_reached,replans,replans_blocked,stuck_events,measurement_updates,last_landmark_update_time,distance_travelled_m,idle_time_s,visited_cell_count,path_waypoint_count,remaining_path_points,remaining_path_length_m,final_true_x,final_true_y,final_est_x,final_est_y
Drone 1,explore,none,37,3,249,0,0,521,62.5,58.405,1.65,58,0,0,0.0,23.386,16.254,23.379,16.196
Drone 2,explore,none,44,2,117,0,2,827,62.5,56.957,1.2,62,0,0,0.0,19.116,24.897,19.107,24.876
Drone 3,explore,none,46,2,134,0,0,844,60.05,59.75,1.45,75,0,0,0.0,4.714,25.383,4.709,25.362
Drone 4,explore,none,36,1,84,0,0,643,60.3,59.535,1.3,60,0,0,0.0,6.104,14.772,6.168,14.633
