event_index,time_s,event,robot,message,details_json
95,33.15,goal_assigned,Drone 1,"Assigned coverage-frontier goal at (30.50, 35.50)","{""goal_type"": ""coverage-frontier"", ""goal_x"": 30.5, ""goal_y"": 35.5, ""score"": -35.9859}"
96,33.15,replan,Drone 1,Replanned path with 4 points (goal update),"{""path_length"": 8.756}"
97,33.4,goal_assigned,Drone 4,"Assigned coverage-frontier goal at (34.50, 4.50)","{""goal_type"": ""coverage-frontier"", ""goal_x"": 34.5, ""goal_y"": 4.5, ""score"": -20.8188}"
98,33.4,replan,Drone 4,Replanned path with 2 points (goal update),"{""path_length"": 18.374}"
99,34.35,goal_assigned,Drone 2,"Assigned coverage-frontier goal at (20.50, 35.50)","{""goal_type"": ""coverage-frontier"", ""goal_x"": 20.5, ""goal_y"": 35.5, ""score"": -32.5201}"
100,34.35,replan,Drone 2,Replanned path with 3 points (goal update),"{""path_length"": 8.059}"
101,34.65,replan,Drone 3,Replanned path with 4 points (goal blocked),"{""path_length"": 6.925}"
102,36.2,replan,Drone 3,Replanned path with 4 points (goal blocked),"{""path_length"": 4.95}"
103,37.6,goal_assigned,Drone 3,"Assigned coverage-frontier goal at (3.50, 30.50)","{""goal_type"": ""coverage-frontier"", ""goal_x"": 3.5, ""goal_y"": 30.5, ""score"": -26.2893}"
104,37.6,replan,Drone 3,Replanned path with 2 points (goal update),"{""path_length"": 8.385}"
105,40.7,goal_assigned,Drone 1,"Assigned coverage-frontier goal at (35.50, 30.50)","{""goal_type"": ""coverage-frontier"", ""goal_x"": 35.5, ""goal_y"": 30.5, ""score"": -36.3094}"
106,40.7,replan,Drone 1,Replanned path with 2 points (goal update),"{""path_length"": 6.864}"
107,41.65,goal_assigned,Drone 2,"Assigned coverage-fill goal at (9.50, 37.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 9.5, ""goal_y"": 37.5, ""score"": -1.3075}"
108,41.65,replan,Drone 2,Replanned path with 2 points (goal update),"{""path_length"": 10.431}"
109,43.65,goal_assigned,Drone 4,"Assigned coverage-frontier goal at (35.50, 6.50)","{""goal_type"": ""coverage-frontier"", ""goal_x"": 35.5, ""goal_y"": 6.5, ""score"": -27.2239}"
110,43.65,replan,Drone 4,Replanned path with 2 points (goal update),"{""path_length"": 9.32}"
111,45.15,goal_assigned,Drone 3,"Assigned coverage-frontier goal at (4.50, 37.50)","{""goal_type"": ""coverage-frontier"", ""goal_x"": 4.5, ""goal_y"": 37.5, ""score"": -21.552}"
112,45.15,replan,Drone 3,Replanned path with 2 points (goal update),"{""path_length"": 7.756}"
113,47.25,goal_assigned,Drone 1,"Assigned coverage-frontier goal at (36.50, 20.50)","{""goal_type"": ""coverage-frontier"", ""goal_x"": 36.5, ""goal_y"": 20.5, ""score"": -9.8944}"
114,47.25,replan,Drone 1,Replanned path with 3 points (goal update),"{""path_length"": 10.509}"
115,48.2,goal_assigned,Drone 3,"Assigned coverage-fill goal at (4.50, 35.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 4.5, ""goal_y"": 35.5, ""score"": 3.3595}"
116,48.2,replan,Drone 3,Replanned path with 2 points (goal update),"{""path_length"": 2.778}"
117,49.2,goal_assigned,Drone 2,"Assigned coverage-fill goal at (9.50, 35.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 9.5, ""goal_y"": 35.5, ""score"": 5.1029}"
118,49.2,replan,Drone 2,Replanned path with 3 points (goal update),"{""path_length"": 4.433}"
119,50.3,goal_assigned,Drone 3,"Assigned coverage-fill goal at (4.50, 37.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 4.5, ""goal_y"": 37.5, ""score"": 3.3728}"
120,50.3,replan,Drone 3,Replanned path with 2 points (goal update),"{""path_length"": 2.677}"
121,50.75,replan,Drone 2,Replanned path with 3 points (goal blocked),"{""path_length"": 2.896}"
122,51.2,goal_assigned,Drone 4,"Assigned coverage-frontier goal at (36.50, 13.50)","{""goal_type"": ""coverage-frontier"", ""goal_x"": 36.5, ""goal_y"": 13.5, ""score"": -6.3965}"
123,51.2,replan,Drone 4,Replanned path with 3 points (goal update),"{""path_length"": 8.664}"
124,52.3,replan,Drone 2,Replanned path with 2 points (goal blocked),"{""path_length"": 1.05}"
125,52.3,goal_assigned,Drone 3,"Assigned coverage-fill goal at (4.50, 38.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 4.5, ""goal_y"": 38.5, ""score"": 3.1268}"
126,52.3,replan,Drone 3,Replanned path with 2 points (goal update),"{""path_length"": 1.679}"
127,52.7,goal_assigned,Drone 2,"Assigned coverage-fill goal at (11.50, 33.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 11.5, ""goal_y"": 33.5, ""score"": 9.1356}"
128,52.7,replan,Drone 2,Replanned path with 4 points (goal update),"{""path_length"": 5.933}"
129,52.75,replan,Drone 4,Replanned path with 3 points (goal blocked),"{""path_length"": 7.195}"
130,53.3,goal_assigned,Drone 3,"Assigned coverage-fill goal at (6.50, 38.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 6.5, ""goal_y"": 38.5, ""score"": 3.2362}"
131,53.3,replan,Drone 3,Replanned path with 2 points (goal update),"{""path_length"": 2.118}"
132,54.25,replan,Drone 2,Replanned path with 4 points (goal blocked),"{""path_length"": 4.619}"
133,54.25,goal_assigned,Drone 4,"Assigned coverage-fill goal at (36.50, 11.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 36.5, ""goal_y"": 11.5, ""score"": 3.9973}"
134,54.25,replan,Drone 4,Replanned path with 3 points (goal update),"{""path_length"": 3.284}"
135,54.8,goal_assigned,Drone 1,"Assigned coverage-frontier goal at (38.50, 37.50)","{""goal_type"": ""coverage-frontier"", ""goal_x"": 38.5, ""goal_y"": 37.5, ""score"": 3.486}"
136,54.8,replan,Drone 1,Replanned path with 3 points (goal update),"{""path_length"": 14.842}"
137,54.85,replan,Drone 3,Replanned path with 2 points (goal blocked),"{""path_length"": 0.757}"
138,54.95,goal_assigned,Drone 3,"Assigned coverage-fill goal at (7.50, 38.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 7.5, ""goal_y"": 38.5, ""score"": 4.0964}"
139,54.95,replan,Drone 3,Replanned path with 3 points (goal update),"{""path_length"": 3.151}"
140,55.8,replan,Drone 2,Replanned path with 4 points (goal blocked),"{""path_length"": 3.153}"
141,55.8,replan,Drone 4,Replanned path with 2 points (goal blocked),"{""path_length"": 1.621}"
142,56.5,replan,Drone 3,Replanned path with 2 points (goal blocked),"{""path_length"": 1.621}"
143,56.75,goal_assigned,Drone 4,"Assigned coverage-fill goal at (36.50, 13.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 36.5, ""goal_y"": 13.5, ""score"": 5.7072}"
144,56.75,replan,Drone 4,Replanned path with 4 points (goal update),"{""path_length"": 4.4}"
145,57.35,replan,Drone 2,Replanned path with 3 points (goal blocked),"{""path_length"": 1.585}"
146,57.5,goal_assigned,Drone 3,"Assigned coverage-fill goal at (9.50, 38.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 9.5, ""goal_y"": 38.5, ""score"": 4.9072}"
147,57.5,replan,Drone 3,Replanned path with 4 points (goal update),"{""path_length"": 4.038}"
148,57.9,replan,Drone 1,Replanned path with 3 points (goal blocked),"{""path_length"": 12.563}"
149,57.9,goal_assigned,Drone 2,"Assigned coverage-fill goal at (10.50, 25.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 10.5, ""goal_y"": 25.5, ""score"": 8.9554}"
150,57.9,replan,Drone 2,Replanned path with 3 points (goal update),"{""path_length"": 8.733}"
151,58.3,replan,Drone 4,Replanned path with 2 points (goal blocked),"{""path_length"": 2.467}"
152,59.05,replan,Drone 3,Replanned path with 2 points (goal blocked),"{""path_length"": 2.308}"
153,59.45,replan,Drone 1,Replanned path with 3 points (goal blocked),"{""path_length"": 11.013}"
154,59.85,replan,Drone 4,Replanned path with 2 points (goal blocked),"{""path_length"": 0.919}"
155,60.1,goal_assigned,Drone 4,"Assigned coverage-fill goal at (38.50, 16.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 38.5, ""goal_y"": 16.5, ""score"": 6.151}"
156,60.1,replan,Drone 4,Replanned path with 4 points (goal update),"{""path_length"": 5.117}"
157,60.6,replan,Drone 3,Replanned path with 2 points (goal blocked),"{""path_length"": 0.885}"
158,60.85,goal_assigned,Drone 3,"Assigned coverage-fill goal at (10.50, 37.50)","{""goal_type"": ""coverage-fill"", ""goal_x"": 10.5, ""goal_y"": 37.5, ""score"": 3.4089}"
159,60.85,replan,Drone 3,Replanned path with 3 points (goal update),"{""path_length"": 2.835}"
160,61.0,replan,Drone 1,Replanned path with 3 points (goal blocked),"{""path_length"": 9.463}"
161,61.65,replan,Drone 4,Replanned path with 3 points (goal blocked),"{""path_length"": 3.52}"
162,62.35,goal_cleared,Drone 1,No valid exploration goal available,
163,62.85,goal_cleared,Drone 3,No valid exploration goal available,
164,63.15,run_saved,,Saved outputs to C:\Users\wts28\PycharmProjects\ME435_TermProject\outputs\run_001_seed_124_20260401_030110,"{""free_coverage_ratio"": 1.0, ""known_ratio"": 1.0, ""output_dir"": ""C:\\Users\\wts28\\PycharmProjects\\ME435_TermProject\\outputs\\run_001_seed_124_20260401_030110""}"
